analysis,Databricks - DataFrame API,Databricks - Spark SQL,Local - DataFrame API,Local - Spark SQL,speedup_local_to_databricks_df,speedup_local_to_databricks_sql,ratio_local_df_to_sql,ratio_databricks_df_to_sql
1_activity_distribution,1.0843466069999863,0.7263599130000102,1.5432640419967356,1.6019018750012035,1.4232202434481867,2.205383097733232,0.9633948658656611,1.4928502903215297
2_top_10_purchased_products,1.060380943000041,0.6960288810000179,2.5956224580004346,2.734454292003647,2.4478207337986215,3.9286506158694534,0.9492286872707297,1.5234726200966562
3_top_categories,1.3730504119999978,0.9346552119999956,1.5914428749965737,1.672164083000098,1.1590564054224808,1.789070516626088,0.9517265029047275,1.4690448353269379
4_top_brands,1.175518817000011,1.0706164000000058,1.9641187919987717,2.4084264159973827,1.6708527023083402,2.2495698888951914,0.8155195354745296,1.0979831964091011
5_daily_purchase_trend,1.351836986999956,0.8346426040000097,1.6840892499967597,1.943594040996686,1.2457783491589096,2.328654242764564,0.86648199905632,1.6196596968825958
