analysis,seconds
1_activity_distribution,1.5432640419967356
2_top_10_purchased_products,2.5956224580004346
3_top_categories,1.5914428749965737
4_top_brands,1.9641187919987715
5_daily_purchase_trend,1.6840892499967595
